date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,70386.72222222222,3.8181818181818183,-0.12244897959183673,12.885245901639344,3.2,-1.1818181818181819,-0.375
2020-02-16,70228.75757575757,6.052631578947368,0.03571428571428571,17.15625,2.0,-1.5934065934065933,-0.6363636363636364
2020-02-17,70724.3111111111,2.348314606741573,-2.0106382978723403,23.47457627118644,-2.5636363636363635,-24.347457627118644,5.688524590163935
2020-02-18,70662.58139534884,-1.3076923076923077,-0.5217391304347826,4.88135593220339,3.4727272727272727,4.862068965517241,0.47692307692307695
2020-02-19,70662.58139534884,0.12903225806451613,-1.0851063829787233,6.864406779661017,3.8545454545454545,5.269565217391304,-0.078125
2020-02-20,70693.0,-0.5698924731182796,-0.18478260869565216,0.559322033898305,2.036363636363636,5.076923076923077,0.4375
2020-02-21,70629.33333333333,0.8762886597938144,-1.6210526315789473,7.694915254237288,3.672727272727273,6.5,-0.15625
2020-02-22,70337.17142857143,3.85,0.6041666666666666,30.852459016393443,6.709090909090909,0.8181818181818182,-0.9107142857142857
2020-02-23,70228.75757575757,2.7604166666666665,0.44047619047619047,27.6,6.509090909090909,-0.5714285714285714,-0.6727272727272727
2020-02-24,70592.26829268293,-3.1555555555555554,-1.574468085106383,5.3,2.272727272727273,9.603603603603604,0.09375
2020-02-25,70662.58139534884,-2.7252747252747254,-4.270833333333333,2.65,1.981818181818182,4.577586206896552,0.640625
2020-02-26,70662.58139534884,3.3870967741935485,0.5531914893617021,5.033898305084746,5.181818181818182,6.208695652173913,-0.625
2020-02-27,70693.0,4.774193548387097,1.608695652173913,8.135593220338983,5.0,6.05982905982906,-0.4375
2020-02-28,70629.33333333333,6.645833333333333,2.795698924731183,13.271186440677965,6.872727272727273,7.12280701754386,-1.515625
2020-02-29,70386.72222222222,7.571428571428571,1.7551020408163265,22.80327868852459,8.654545454545454,0.9797979797979798,-1.8571428571428572
2020-03-01,70228.75757575757,9.536842105263158,5.746987951807229,28.09375,9.636363636363637,0.2,-1.4181818181818182
2020-03-02,70663.69767441861,2.6741573033707864,4.956521739130435,8.05,2.1636363636363636,-3.439655172413793,0.25806451612903225
2020-03-03,70662.58139534884,7.043956043956044,8.706521739130435,20.508474576271187,4.054545454545455,6.525862068965517,-0.9384615384615385
2020-03-04,70693.0,5.118279569892473,6.217391304347826,18.864406779661017,5.218181818181818,6.318965517241379,-0.8615384615384616
2020-03-05,70724.42222222222,4.032258064516129,3.891304347826087,19.933333333333334,4.236363636363636,5.991525423728813,-0.765625
